,City Name,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tromsø,69.65,18.96,285.15,87,75,12.9,NO,1597448976
1,Bluff,-46.6,168.33,280.93,83,77,1.79,NZ,1597448978
2,Punta Arenas,-53.15,-70.92,273.15,91,100,2.1,CL,1597448979
3,Tautira,-17.73,-149.15,301.15,69,75,4.6,PF,1597448981
4,Souillac,-20.52,57.52,294.15,73,40,2.1,MU,1597448983
5,Laguna,38.42,-121.42,314.82,13,1,3.1,US,1597448984
6,Albany,42.6,-73.97,299.82,62,74,3.09,US,1597448693
7,Hong Kong,22.29,114.16,304.26,74,0,2.36,HK,1597448852
8,Rikitea,-23.12,-134.97,294.72,76,40,5.13,PF,1597448989
9,Mataura,-46.19,168.86,280.93,83,8,1.79,NZ,1597448990
10,Kapaa,22.08,-159.32,302.59,66,20,5.7,US,1597448910
11,Xining,36.62,101.77,286.58,69,54,0.89,CN,1597448993
12,Ushuaia,-54.8,-68.3,275.15,92,40,5.1,AR,1597448714
13,Nador,35.17,-2.93,299.15,39,0,3.1,MA,1597448908
14,San Cristobal,7.77,-72.22,301.15,69,40,1.5,VE,1597448997
15,Tiksi,71.69,128.87,277.71,83,100,4.86,RU,1597448998
16,‘Āhuimanu,21.44,-157.84,305.15,65,20,5.1,US,1597448999
17,Saskylakh,71.92,114.08,280.56,66,87,2.21,RU,1597449001
18,Iraray,8.99,118.05,300.78,76,3,0.95,PH,1597449003
19,Ribeira Grande,38.52,-28.7,295.97,80,66,5.35,PT,1597449004
20,Kudahuvadhoo,2.67,72.89,301.68,65,73,2.85,MV,1597448826
21,Yashkino,55.87,85.43,289.15,100,75,2.0,RU,1597449009
22,George Town,5.41,100.34,299.15,94,20,1.91,MY,1597448766
23,Lompoc,34.64,-120.46,310.15,29,1,2.6,US,1597448803
24,Portel,-1.94,-50.82,300.66,57,52,1.15,BR,1597449014
25,Barrow,71.29,-156.79,284.15,76,75,5.7,US,1597449015
26,Saint-Augustin,51.23,-58.65,285.72,61,1,1.58,CA,1597449017
27,Dikson,73.51,80.55,279.92,97,97,7.47,RU,1597449018
28,Addanki,15.82,79.98,298.31,82,100,2.84,IN,1597449019
29,São José da Coroa Grande,-8.9,-35.15,295.81,85,6,2.31,BR,1597449021
30,Pevek,69.7,170.31,279.78,86,100,3.88,RU,1597449022
31,Flinders,-34.58,150.86,289.82,74,99,3.13,AU,1597449024
32,Sungai Penuh,-2.08,101.38,292.07,81,100,1.04,ID,1597449027
33,Kindersley,51.47,-109.17,296.15,31,75,6.2,CA,1597449029
34,Puerto Ayora,-0.74,-90.35,293.15,94,98,1.34,EC,1597449031
35,Porto Tolle,44.95,12.32,297.59,87,56,2.58,IT,1597449033
36,Vysokogornyy,50.12,139.15,284.86,95,96,1.97,RU,1597449034
37,Jarwal,27.17,81.55,300.64,84,100,3.5,IN,1597449036
38,Narsaq,60.92,-46.05,283.15,76,18,2.1,GL,1597449038
39,Jamestown,42.1,-79.24,298.15,50,1,4.6,US,1597449039
40,Lázaro Cárdenas,17.96,-102.2,302.21,78,100,4.57,MX,1597449040
